서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,서울시 의심환자 전체,서울시 의심환자 검사중,서울시 의심환자 검사결과(음성),전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망,전국 의심환자 전체,전국 의심환자 검사중,전국 의심환자 검사결과(음성),자가격리자 해외입국자 감시중,자가격리자 해외입국자 감시해제,자가격리자 접촉자 감시중,자가격리자 접촉자 감시해제,확인중 확진자,서울시 당일사망자,전국 당일 사망자
2.0202E+11,31,0,31,0,0,0,5856,1112,4744,20022418,833,0,804,22,7,31923,11631,20292,0,0,0,0,0,,
2022121600,5478664,12402,0,,,5932,,,,2022121600,28062679,66953,0,,31298,,,,,,,,0,8,66
2022121500,5466262,12830,0,,,5924,,,,2022121500,27995726,70154,0,,31232,,,,,,,,0,9,58
2022121400,5453432,15180,0,,,5915,,,,2022121400,27925572,84571,0,,31174,,,,,,,,0,7,46
2022121300,5438252,17696,0,,,5908,,,,2022121300,27841001,86852,0,,31128,,,,,,,,0,3,29
2022121200,5420556,3910,0,,,5905,,,,2022121200,27754149,25667,0,,31099,,,,,,,,0,3,30
2022121100,5416646,9603,0,,,5902,,,,2022121100,27728482,54319,0,,31069,,,,,,,,0,3,40
2022121000,5407043,11690,0,,,5899,,,,2022121000,27674163,62738,0,,31029,,,,,,,,0,8,54
2022120900,5395385,11853,0,,,5891,,,,2022120900,27611555,62734,0,,30975,,,,,,,,0,10,67
2022120800,5385302,11977,0,,,5881,,,,2022120800,27548821,65253,0,,30908,,,,,,,,0,9,61
2022120700,5371555,13747,0,,,5872,,,,2022120700,27483568,74714,0,,30847,,,,,,,,0,7,54
2022120600,5357808,16372,0,,,5865,,,,2022120600,27408854,77604,0,,30793,,,,,,,,0,7,24
2022120500,5341436,3921,0,,,5858,,,,2022120500,27331250,23160,0,,30769,,,,,,,,0,11,40
2022120400,5337515,8526,0,,,5847,,,,2022120400,27308090,46564,0,,30729,,,,,,,,0,7,60
2022120300,5328989,10369,0,,,5840,,,,2022120300,27261526,52861,0,,30669,,,,,,,,0,11,48
2022120200,5318646,10487,0,,,5829,,,,2022120200,27208800,52987,0,,30621,,,,,,,,0,5,53
2022120100,5308159,11034,0,,,5824,,,,2022120100,27155813,57079,0,,30568,,,,,,,,0,17,62
2022113000,5297125,12290,0,,,5807,,,,2022113000,27098734,67415,0,,30506,,,,,,,,0,11,52
2022112900,5284835,15501,0,,,5796,,,,2022112900,27031319,71476,0,,30454,,,,,,,,0,4,41
2022112800,5269334,3794,0,,,5792,,,,2022112800,26959843,22327,0,,30413,,,,,,,,0,13,44
2022112700,5265540,9160,0,,,5779,,,,2022112700,26937516,47028,0,,30369,,,,,,,,0,9,39
2022112600,5256380,10161,0,,,5770,,,,2022112600,26890488,52788,0,,30330,,,,,,,,0,5,52
2022112500,5246245,10684,0,,,5765,,,,2022112500,26837840,53698,0,,30278,,,,,,,,0,9,55
2022112400,5235561,11456,0,,,5756,,,,2022112400,26784142,59089,0,,30223,,,,,,,,0,14,59
2022112300,5224105,13499,0,,,5742,,,,2022112300,26725053,70324,0,,30164,,,,,,,,0,8,53
2022112200,5210606,15613,0,,,5734,,,,2022112200,26654729,72873,0,,30111,,,,,,,,0,11,45
2022112100,5194993,3826,0,,,5723,,,,2022112100,26581856,23091,0,,30066,,,,,,,,0,3,35
2022112000,5191167,8804,0,,,5720,,,,2022112000,26558765,46011,0,,30031,,,,,,,,0,5,41
2022111900,5182363,10124,0,,,5715,,,,2022111900,26512754,50589,0,,29990,,,,,,,,0,10,65
2022111800,5172272,9742,0,,,5705,,,,2022111800,26462319,49418,0,,29925,,,,,,,,0,12,63
2022111700,5162530,10846,0,,,5693,,,,2022111700,26412901,55437,0,,29862,,,,,,,,0,14,67
2022111600,5151684,12483,0,,,5679,,,,2022111600,26357464,66587,0,,29795,,,,,,,,0,10,47
2022111500,5139201,15539,0,,,5669,,,,2022111500,26290877,72883,0,,29748,,,,,,,,0,4,39
2022111400,5123662,3649,0,,,5665,,,,2022111400,26217994,23765,0,,29709,,,,,,,,0,5,44
2022111300,5120013,9263,0,,,5660,,,,2022111300,26194229,48465,0,,29665,,,,,,,,0,5,48
2022111200,5110750,10836,0,,,5655,,,,2022111200,26145764,54328,0,,29617,,,,,,,,0,12,46
2022111100,5099934,10903,0,,,5643,,,,2022111100,26091539,54519,0,,29571,,,,,,,,0,0,40
2022111000,5089031,11073,0,,,5643,,,,2022111000,26037020,55365,0,,29531,,,,,,,,0,6,52
2022110900,5077958,12481,0,,,5637,,,,2022110900,25981655,62472,0,,29479,,,,,,,,0,8,59
2022110800,5065477,14158,0,,,5629,,,,2022110800,25919183,62273,0,,29420,,,,,,,,0,3,30
2022110700,5051319,3320,0,,,5626,,,,2022110700,25856910,18671,0,,29390,,,,,,,,0,0,18
2022110600,5047999,7163,0,,,5626,,,,2022110600,25838239,36675,0,,29372,,,,,,,,0,3,18
2022110500,5040836,8104,0,,,5624,,,,2022110500,25801564,40903,0,,29354,,,,,,,,0,2,41
2022110400,5032737,8677,0,,,5622,,,,2022110400,25760701,43449,0,,29315,,,,,,,,0,5,35
2022110300,5024068,9547,0,,,5617,,,,2022110300,25717277,46896,0,,29280,,,,,,,,0,5,41
2022110200,5014526,10940,0,,,5612,,,,2022110200,25670407,54766,0,,29239,,,,,,,,0,4,30
2022110100,5003593,13017,0,,,5608,,,,2022110100,25615667,58379,0,,29209,,,,,,,,0,5,33
2022103100,4990582,3099,0,,,5603,,,,2022103100,25557309,18510,0,,29176,,,,,,,,0,5,18
2022103000,4987483,6708,0,,,5598,,,,2022103000,25538799,34511,0,,29158,,,,,,,,0,1,27
