,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00_06_매출_비율,시간대_06_11_매출_비율,시간대_11_14_매출_비율,시간대_14_17_매출_비율,시간대_17_21_매출_비율,시간대_21_24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수_06_매출_건수,시간대_건수_11_매출_건수,시간대_건수_14_매출_건수,시간대_건수_17_매출_건수,시간대_건수_21_매출_건수,시간대_건수_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,거리두기_단계
0,2019-1,1,A,골목상권,0,성심여자고등학교,0,한식음식점,1297565528.0,46239,86,14,16,16,17,20,17,9,6,2,1,42,8,33,15,68,32,0,8,22,23,28,19,1112442110.0,185123418.0,211958276.0,205742516.0,213695980.0,264972492.0,216072846.0,114370306.0,70753112.0,26993782,6790585.0,541909131.0,97224997.0,433123909.0,191523124,561384087.0,266394650.0,1572906,67416745.0,184072699.0,192578319.0,228128252.0,154009820.0,40939,5300,8126,7851,8441,8637,7884,3426,1874,474,284,28151,3989,10190,3151,22872,12436,209,4735,9249,8066,7810,5236,80,0
1,2019-1,1,A,골목상권,0,성심여자고등학교,1,중식음식점,230962300.0,10738,73,27,12,13,13,17,19,14,13,0,0,52,18,30,0,65,35,1,12,33,27,16,12,168387038.0,62575262.0,26942221.0,29981015.0,30597825.0,38220615.0,42645362.0,32631780.0,29943482.0,0,218663.0,119127686.0,40865480.0,70234471.0,516000,115730378.0,61781779.0,1060934,20869275.0,58267930.0,48326612.0,28161769.0,20825638.0,7885,2853,1282,1546,1463,1751,1843,1524,1329,0,12,5779,1898,3028,21,6039,2957,59,1160,3018,2256,1474,1028,12,0
2,2019-1,1,A,골목상권,0,성심여자고등학교,6,치킨전문점,74347640.0,3094,79,21,13,15,18,17,17,19,2,5,0,5,9,47,34,56,44,2,15,21,33,24,6,58429578.0,15918062.0,9271858.0,11235106.0,13289396.0,12261186.0,12372032.0,14150532.0,1767530.0,3861705,0.0,3756622.0,6284955.0,34948320.0,25496038,36478198.0,28974636.0,1332042,9674912.0,13678783.0,21834857.0,15356982.0,3575255.0,2486,608,385,485,561,477,578,571,37,113,0,177,330,1525,949,1484,1401,81,582,565,844,646,169,6,0
3,2019-1,1,A,골목상권,0,성심여자고등학교,7,분식전문점,49213160.0,5294,99,1,19,16,19,26,19,1,0,0,9,58,10,22,0,66,34,2,22,38,25,8,5,48770681.0,442479.0,9366487.0,7847002.0,9471796.0,12778790.0,9306606.0,442479.0,0.0,0,4649721.0,28401907.0,5075582.0,11009846.0,76104,23267312.0,11985480.0,605666,7684953.0,13540508.0,8822686.0,2851295.0,1747686.0,5235,59,1045,846,1033,1256,1055,59,0,0,610,2685,705,1282,12,2759,1738,130,1139,1478,1091,400,258,6,0
4,2019-1,1,A,골목상권,0,성심여자고등학교,8,호프-간이주점,101261599.0,3487,82,18,13,16,16,16,21,10,8,11,0,17,1,29,43,71,29,2,7,18,25,26,22,83328688.0,17932911.0,13562431.0,16474316.0,16062281.0,16352475.0,20877185.0,9630696.0,8302215.0,11331882,0.0,16915280.0,1104066.0,28820655.0,43089716,60125957.0,24772866.0,2014329,6112718.0,15229836.0,21584860.0,21610362.0,18346720.0,2897,590,586,575,481,532,723,327,263,341,0,1088,59,800,1199,1985,1035,98,267,677,862,688,429,14,0
5,2019-1,1,A,골목상권,0,성심여자고등학교,9,커피-음료,242013713.0,37808,82,18,14,15,16,19,17,10,8,0,16,43,23,15,3,52,48,1,22,34,24,15,5,198228546.0,43785167.0,34949643.0,35814536.0,39446054.0,46327846.0,41690467.0,23585110.0,20200057.0,0,39056617.0,103454661.0,56724392.0,36379909.0,6398134,108049938.0,99547001.0,1907938,44923088.0,70051724.0,50234439.0,30953925.0,9525821.0,30077,7731,5198,5500,6281,6740,6358,4007,3724,0,7296,14722,9422,5651,717,17471,16538,422,8596,11223,7579,4715,1476,17,0
6,2019-1,1,A,골목상권,0,성심여자고등학교,10,일반교습학원,44643701.0,136,86,14,7,15,17,32,15,14,0,0,0,4,14,77,6,39,61,0,0,0,83,18,0,38242530.0,6401171.0,3053967.0,6672953.0,7588428.0,14447336.0,6479846.0,6401171.0,0.0,0,0.0,1573472.0,6107934.0,34351761.0,2610534,17515608.0,27128093.0,0,0.0,0.0,36812099.0,7831602.0,0.0,115,21,14,22,22,36,21,21,0,0,0,7,21,101,7,64,72,0,0,0,115,21,0,5,0
7,2019-1,1,A,골목상권,0,성심여자고등학교,11,외국어학원,43034199.0,150,97,4,18,19,19,20,22,4,0,0,16,22,33,29,0,31,69,0,0,22,57,21,0,41532755.0,1501444.0,7510484.0,8049052.0,8044552.0,8639889.0,9288778.0,1501444.0,0.0,0,7028916.0,9328543.0,14133155.0,12543585.0,0,13142344.0,28782092.0,0,0.0,9057690.0,24021283.0,8845463.0,0.0,143,7,28,29,27,20,39,7,0,0,19,26,42,63,0,39,105,0,0,20,93,30,0,8,0
8,2019-1,1,A,골목상권,0,성심여자고등학교,12,예술학원,20773895.0,28,100,0,0,0,0,44,56,0,0,0,0,100,0,0,0,56,44,0,0,44,0,0,56,20773895.0,0.0,0.0,0.0,0.0,9155190.0,11618705.0,0.0,0.0,0,0.0,20773895.0,0.0,0.0,0,11618705.0,9155190.0,0,0.0,9155190.0,0.0,0.0,11618705.0,28,0,0,0,0,14,14,0,0,0,0,28,0,0,0,14,14,0,0,14,0,0,14,1,0
9,2019-1,1,A,골목상권,0,성심여자고등학교,14,일반의원,33630171.0,1347,91,9,16,21,28,11,16,9,0,0,23,32,36,9,0,42,58,0,3,10,9,24,54,30688583.0,2941588.0,5258621.0,6913644.0,9311657.0,3824470.0,5380191.0,2941588.0,0.0,0,7839040.0,10576965.0,12139973.0,3074193.0,0,14215282.0,19414889.0,47576,874581.0,3475042.0,2850486.0,8177939.0,18204547.0,1206,141,233,162,315,243,253,141,0,0,415,467,364,101,0,628,719,10,111,284,192,203,547,3,0
