,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00_06_매출_비율,시간대_06_11_매출_비율,시간대_11_14_매출_비율,시간대_14_17_매출_비율,시간대_17_21_매출_비율,시간대_21_24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수_06_매출_건수,시간대_건수_11_매출_건수,시간대_건수_14_매출_건수,시간대_건수_17_매출_건수,시간대_건수_21_매출_건수,시간대_건수_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,거리두기_단계
0,2019-1,1,U,관광특구,0,이태원 관광특구,0,한식음식점,12683249362.0,388698,60,40,9,11,11,12,18,23,17,22,4,12,6,28,29,57,43,1,45,31,12,9,4,7643033320.0,5040216042.0,1132190556.0,1325737139.0,1353183044.0,1549317319.0,2282605262.0,2943445537.0,2096770505.0,2724801038,478345047.0,1546807002.0,715319956.0,3524573672.0,3693402647,6274126533.0,4753128862.0,50612616,4908697181.0,3419417328.0,1297099629.0,961000650.0,390427985.0,232802,155896,37722,38686,41385,46339,68670,88606,67290,110572,14908,68429,29664,75175,89950,211902,156455,2197,178199,109723,35655,28807,13778,119,0
1,2019-1,1,U,관광특구,0,이태원 관광특구,1,중식음식점,2103779249.0,77608,62,38,9,10,12,14,17,23,15,2,0,22,17,45,14,49,51,0,36,31,15,12,5,1300870572.0,802908677.0,196038547.0,216127622.0,241111561.0,287898874.0,359693968.0,480430081.0,322478596.0,33435195,365779.0,460584091.0,352721606.0,954689831.0,301982747,945596587.0,987684954.0,5008105,700727986.0,607677590.0,290543514.0,232906950.0,96417396.0,47373,30235,7376,8092,9229,10384,12292,17301,12934,571,22,19482,16044,34185,7304,35874,38496,311,28485,22500,10720,8786,3571,14,0
2,2019-1,1,U,관광특구,0,이태원 관광특구,2,일식음식점,1486075524.0,32842,61,39,9,11,11,11,19,21,18,24,1,11,5,25,34,57,43,0,36,36,17,8,3,902512449.0,583563075.0,128126037.0,168600474.0,158984232.0,167379302.0,279422404.0,318162678.0,265400397.0,362338236,14461967.0,162306628.0,67541635.0,372541347.0,506885711,727790825.0,551766997.0,4238219,462127874.0,457092153.0,214710209.0,104346850.0,37042521.0,20013,12829,2992,3715,3987,3861,5458,6944,5885,5562,247,7831,2988,9990,6224,15865,14590,240,12549,9906,4685,2360,718,22,0
3,2019-1,1,U,관광특구,0,이태원 관광특구,3,양식음식점,20131379312.0,614370,53,48,7,9,9,11,16,27,21,16,1,10,12,34,27,52,48,1,47,31,11,8,3,10562518936.0,9568860376.0,1419239763.0,1870426082.0,1880238161.0,2108186709.0,3284428221.0,5424928083.0,4143932293.0,3167158180,247105710.0,2082967548.0,2403164747.0,6875656496.0,5355326631,9733696749.0,8894699601.0,126667245,8665619844.0,5798231963.0,2101812311.0,1395135384.0,540929599.0,314904,299466,45325,57769,55965,58523,97322,162895,136571,134250,15443,65675,76601,187245,135156,325322,272557,5299,300030,178931,57744,42349,13514,203,0
4,2019-1,1,U,관광특구,0,이태원 관광특구,4,제과점,1400329302.0,119918,57,43,9,10,11,12,16,25,17,2,1,13,22,43,19,40,60,1,45,25,13,11,5,802470946.0,597858356.0,121599550.0,135549922.0,154972781.0,164719331.0,225629362.0,354243425.0,243614931.0,23989381,15630487.0,178875969.0,305403784.0,606035407.0,270394274,545890970.0,826852438.0,16437385,623650053.0,344553729.0,173171379.0,144392238.0,70538623.0,69532,50386,10779,12004,13629,14318,18802,28605,21781,1902,1927,14199,27865,50577,23448,45999,73458,1670,59116,28616,13769,10845,5439,22,0
5,2019-1,1,U,관광특구,0,이태원 관광특구,5,패스트푸드점,2929482809.0,156527,58,42,9,11,11,12,16,23,20,6,3,18,20,42,12,49,51,1,50,26,11,8,3,1695475280.0,1234007529.0,255989736.0,312576293.0,323800439.0,348146299.0,454962513.0,662286858.0,571720671.0,171737916,82458803.0,516718002.0,586175990.0,1220432580.0,351959518,1369808417.0,1414337594.0,25828535,1403351139.0,728028213.0,315839653.0,229923169.0,81175310.0,94389,62138,15215,17855,18203,18836,24280,33112,29026,15818,11345,29559,32103,51402,16300,79302,74285,1860,74317,38555,19130,14069,5655,28,0
6,2019-1,1,U,관광특구,0,이태원 관광특구,6,치킨전문점,80101944.0,3175,66,34,8,14,13,14,18,19,15,9,0,0,2,50,39,51,49,1,25,27,23,19,6,52927747.0,27174197.0,6139432.0,11147455.0,10289511.0,11243541.0,14107808.0,15207595.0,11966602.0,7544468,0.0,0.0,1412333.0,39871232.0,31273911,35565778.0,34003255.0,329844,17530598.0,18651405.0,15845575.0,13337439.0,3874171.0,2038,1137,245,439,417,409,528,590,547,305,0,0,67,1566,1237,1438,1442,14,783,716,616,569,180,3,0
7,2019-1,1,U,관광특구,0,이태원 관광특구,7,분식전문점,929140111.0,31031,48,52,6,8,10,9,15,29,23,30,6,6,9,26,25,53,47,1,57,27,7,6,1,444931363.0,484208748.0,53817348.0,76421848.0,90993190.0,82994184.0,140704793.0,270501099.0,213707649.0,277444869,50781562.0,51844375.0,78696538.0,236798776.0,233573991,490579469.0,429104196.0,12590995,524567192.0,246386577.0,67231882.0,56942594.0,11964427.0,14495,16536,1896,2535,2717,2708,4639,8708,7828,9630,2153,2237,3728,7510,5773,16593,14258,377,16901,8835,2470,1770,500,77,0
8,2019-1,1,U,관광특구,0,이태원 관광특구,8,호프-간이주점,8029110117.0,240693,44,56,5,8,7,9,14,30,27,52,4,1,1,10,33,67,33,0,45,33,13,7,2,3524375942.0,4504734175.0,407150696.0,665630561.0,582839237.0,725990734.0,1142764714.0,2377808045.0,2126926130.0,4185158338,287652521.0,44705689.0,51289831.0,838104992.0,2622198746,5196711355.0,2598418207.0,27508320,3525308050.0,2588731398.0,1000806377.0,530370962.0,122404453.0,90632,150061,10500,16934,15163,15865,32170,76168,73893,130397,15253,1504,1700,22825,69014,166420,72233,1178,116454,80612,21424,15692,3292,97,0
9,2019-1,1,U,관광특구,0,이태원 관광특구,9,커피-음료,4861904850.0,421748,57,43,8,11,12,12,15,24,19,3,3,19,32,35,9,35,65,1,51,27,10,8,2,2790620161.0,2071284689.0,409028506.0,508295892.0,574958117.0,575032647.0,723304999.0,1174027402.0,897257287.0,157242374,122942265.0,905782826.0,1549638326.0,1688680846.0,437618213,1628553037.0,3052106346.0,37854578,2406424280.0,1277517664.0,484279916.0,374078822.0,100504123.0,250113,171635,39478,44938,51241,51977,62479,95463,76172,11694,19039,85319,133936,140402,31358,153754,260037,3964,211242,112293,41517,35343,9429,85,0
