,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00_06_매출_비율,시간대_06_11_매출_비율,시간대_11_14_매출_비율,시간대_14_17_매출_비율,시간대_17_21_매출_비율,시간대_21_24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수_06_매출_건수,시간대_건수_11_매출_건수,시간대_건수_14_매출_건수,시간대_건수_17_매출_건수,시간대_건수_21_매출_건수,시간대_건수_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,거리두기_단계
0,2019-1,1,D,발달상권,0,용산전자상가(용산역),0,한식음식점,4609100181.0,198273,88,12,16,16,19,20,18,8,4,1,2,51,10,24,12,74,26,0,13,30,31,17,10,4059837248.0,549262933.0,727393913.0,733715466.0,851648204.0,910858484.0,836221181.0,357624341.0,191638592.0,61659356,71177524.0,2344287222.0,471483416.0,1093668024.0,566824639,2036603507.0,726222323.0,9215305,351115019.0,817449921.0,847756552.0,475612212.0,261676810.0,176390,21883,33938,31985,36136,38761,35570,13532,8351,2228,3835,128864,26160,28314,8872,109051,37638,833,26215,44359,40299,23358,11626,221,0
1,2019-1,1,D,발달상권,0,용산전자상가(용산역),1,중식음식점,430958871.0,22230,93,7,19,15,18,21,20,6,2,0,0,51,18,27,4,78,22,0,15,36,30,14,5,400893222.0,30065649.0,80921243.0,63867927.0,78848488.0,90284445.0,86971119.0,23537497.0,6528152.0,0,1281358.0,220637450.0,75578111.0,116317424.0,17144528,195313234.0,55727004.0,912308,37550678.0,90533494.0,74225621.0,35813634.0,12004506.0,20466,1764,3762,3885,3949,4415,4455,1459,305,0,7,12808,4159,4930,326,12782,3471,134,2893,5295,4773,2414,747,12,0
2,2019-1,1,D,발달상권,0,용산전자상가(용산역),2,일식음식점,327039115.0,14037,87,14,15,18,15,19,19,8,6,0,0,61,12,19,9,73,27,1,20,32,28,14,5,282967697.0,44071418.0,49976916.0,59137692.0,49756496.0,62714178.0,61382415.0,24658176.0,19413242.0,1010362,0.0,198307296.0,38119200.0,60824187.0,28778070,144596513.0,52474440.0,1983969,39927373.0,62403635.0,54153335.0,28446218.0,10156425.0,11941,2096,2148,2455,2273,2568,2497,1167,929,6,0,9871,2061,1854,245,7361,2757,136,2535,3603,2323,1112,411,16,0
3,2019-1,1,D,발달상권,0,용산전자상가(용산역),3,양식음식점,39242574.0,1597,87,13,8,17,22,19,21,7,7,0,0,73,13,13,1,65,35,0,13,44,27,11,4,33973320.0,5269254.0,2940337.0,6711802.0,8564892.0,7590639.0,8165650.0,2642788.0,2626466.0,0,120526.0,28790694.0,5214013.0,4921486.0,195855,16395329.0,8911405.0,40175,3329536.0,11237812.0,6930256.0,2787168.0,981786.0,1387,210,110,230,343,346,358,125,85,0,5,1197,195,195,5,748,453,5,190,548,280,135,40,3,0
4,2019-1,1,D,발달상권,0,용산전자상가(용산역),5,패스트푸드점,47347286.0,5887,92,8,14,17,22,20,20,8,0,0,35,23,21,21,0,70,31,1,25,36,24,9,5,43724544.0,3622742.0,6450630.0,8044086.0,10491718.0,9351572.0,9386538.0,3622742.0,0.0,0,16524003.0,11013712.0,9968474.0,9841097.0,0,24766023.0,10892579.0,385876,8863918.0,12900635.0,8579819.0,3054543.0,1873810.0,5349,538,880,925,1054,1279,1211,538,0,0,2036,1542,1204,1105,0,3758,1599,82,1536,1892,1161,500,187,3,0
5,2019-1,1,D,발달상권,0,용산전자상가(용산역),6,치킨전문점,147908655.0,4813,75,25,13,14,16,19,13,14,11,20,0,0,0,34,46,71,30,3,26,28,28,12,3,110307107.0,37601548.0,19286080.0,20655160.0,23111273.0,27551222.0,19703372.0,20920505.0,16681043.0,29000151,0.0,0.0,142615.0,50252732.0,68513157,84048595.0,35086338.0,3721498,31412211.0,32870732.0,33503040.0,13881274.0,3746181.0,3427,1386,548,647,688,838,706,755,631,911,0,0,8,1845,2049,2922,1322,173,1179,1117,1077,549,153,12,0
6,2019-1,1,D,발달상권,0,용산전자상가(용산역),7,분식전문점,804438975.0,58640,84,16,15,15,16,20,18,11,5,0,2,53,15,25,5,70,30,0,19,34,26,15,5,676598893.0,127840082.0,116571311.0,123577840.0,132115073.0,162159050.0,142175619.0,87420987.0,40419095.0,2625869,15372485.0,426808491.0,118028849.0,204498966.0,37104315,414192970.0,179359578.0,1846609,112105001.0,200411902.0,155857999.0,91660546.0,31670489.0,50610,8030,8761,9527,10065,11761,10496,5381,2649,37,1541,34575,9391,12194,902,33187,15344,214,10445,16593,12629,6269,2381,60,0
7,2019-1,1,D,발달상권,0,용산전자상가(용산역),8,호프-간이주점,288258939.0,7012,89,11,17,20,19,18,15,9,3,14,0,0,2,25,60,73,27,0,11,27,37,18,7,255456040.0,32802899.0,47830620.0,57446557.0,53866669.0,53124575.0,43187619.0,25168172.0,7634727.0,40563813,0.0,0.0,4371897.0,71143222.0,172180007,150057451.0,54623079.0,782959,21844299.0,54633301.0,76143735.0,36795058.0,14481174.0,6091,921,1055,1250,1335,1345,1106,660,261,1106,0,0,52,1740,4114,3916,1270,51,702,1510,1816,840,272,24,0
8,2019-1,1,D,발달상권,0,용산전자상가(용산역),9,커피-음료,946490617.0,128884,81,20,14,16,17,18,16,11,8,0,15,42,29,13,1,66,34,0,24,37,26,10,3,762278733.0,184211884.0,134676854.0,147885626.0,156214514.0,171073058.0,152428681.0,106855043.0,77356841.0,0,139910049.0,397831934.0,276493152.0,124323130.0,7932352,457372597.0,240104037.0,2748808,167074755.0,255829122.0,181052424.0,70409758.0,20361771.0,103807,25077,18665,20023,22009,22730,20380,14765,10312,0,25863,49047,36613,16309,1052,70314,37084,480,25928,38993,27664,11319,3009,68,0
9,2019-1,1,D,발달상권,0,용산전자상가(용산역),14,일반의원,617561795.0,11382,88,12,15,21,10,21,21,12,0,0,32,33,29,6,0,51,49,0,14,18,29,28,12,545492791.0,72069004.0,95223371.0,126958355.0,60332374.0,132060602.0,130918089.0,72069004.0,0.0,0,200250792.0,203147349.0,177375887.0,36787767.0,0,314585218.0,302976577.0,0,85353372.0,109550206.0,177424380.0,170879131.0,74354706.0,9789,1593,2102,1716,1892,1962,2117,1593,0,0,3794,3774,2898,916,0,5883,5499,0,2506,2732,2442,2104,1598,9,0
10,2019-1,1,D,발달상권,0,용산전자상가(용산역),15,치과의원,404474069.0,2230,87,13,20,22,22,10,13,13,0,0,10,39,27,23,0,51,49,0,6,6,29,22,38,352077294.0,52396775.0,79121732.0,90511229.0,90283388.0,38308656.0,53852289.0,52396775.0,0.0,0,41989958.0,159231609.0,110425840.0,92826662.0,0,206850699.0,197623370.0,0,22693701.0,24661673.0,116735716.0,87610049.0,152772930.0,1908,322,381,383,371,457,316,322,0,0,372,740,928,190,0,1033,1197,0,213,408,425,520,664,9,0
11,2019-1,1,D,발달상권,0,용산전자상가(용산역),17,당구장,69522341.0,4092,70,30,11,12,15,16,15,18,12,23,1,1,7,29,39,92,8,1,13,22,18,39,8,48464722.0,21057619.0,7863512.0,8637124.0,10336348.0,11248260.0,10379478.0,12411303.0,8646316.0,15981713,739919.0,835087.0,4935655.0,19879282.0,27150685,62859810.0,5153759.0,649336,8679351.0,15153287.0,12031706.0,26347997.0,5151891.0,2929,1163,467,510,591,720,641,700,463,825,30,81,317,1326,1513,3672,313,69,746,849,731,1297,294,9,0
12,2019-1,1,D,발달상권,0,용산전자상가(용산역),18,골프연습장,461925294.0,11080,62,38,10,13,13,14,12,21,17,17,6,5,10,27,35,89,11,0,3,37,34,23,3,288417539.0,173507755.0,46405473.0,62118520.0,59276346.0,64849911.0,55767289.0,95027854.0,78479901.0,80558298,28158305.0,22371258.0,44560847.0,122735655.0,163540931,357926899.0,44941390.0,0,13343185.0,147470252.0,136107453.0,93569364.0,12378037.0,6645,4435,1040,1423,1336,1458,1388,2295,2140,1783,846,612,1279,2889,3671,8936,1131,0,272,3963,3196,2330,306,12,0
13,2019-1,1,D,발달상권,0,용산전자상가(용산역),19,PC방,120279365.0,21079,63,37,11,12,13,12,15,19,17,20,7,8,21,28,16,88,12,13,62,13,8,3,1,76090934.0,44188431.0,12766880.0,14785348.0,15650190.0,14610934.0,18277582.0,23201408.0,20987023.0,24235271,7917559.0,9002294.0,25715847.0,34206157.0,19202237,105916950.0,14362415.0,15733391,74047816.0,16050774.0,9715107.0,4106580.0,625697.0,13330,7749,2194,2357,2916,2799,3064,4195,3554,3713,1359,1896,4510,6459,3142,18211,2868,3961,12241,2728,1197,816,136,6,0
