,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00_06_매출_비율,시간대_06_11_매출_비율,시간대_11_14_매출_비율,시간대_14_17_매출_비율,시간대_17_21_매출_비율,시간대_21_24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00_06_매출_금액,시간대_06_11_매출_금액,시간대_11_14_매출_금액,시간대_14_17_매출_금액,시간대_17_21_매출_금액,시간대_21_24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수_06_매출_건수,시간대_건수_11_매출_건수,시간대_건수_14_매출_건수,시간대_건수_17_매출_건수,시간대_건수_21_매출_건수,시간대_건수_24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,거리두기_단계
0,2019-1,1,R,전통시장,0,용산용문시장,0,한식음식점,2237659443.0,79614,72,28,12,15,15,16,15,15,13,8,4,19,7,39,23,67,34,1,12,24,26,24,13,1614179822.0,623479621.0,258165651.0,323860842.0,340152567.0,353838463.0,338162299.0,340904295.0,282575326.0,177323416,77730552.0,430971274.0,156188429.0,876343974.0,519101798,1231730632.0,620520332.0,8963800,228180254.0,446143268.0,477896670.0,450546262.0,240520708.0,57919,21695,10019,11325,12060,12384,12131,11555,10140,5783,4519,22375,8149,26057,12731,45947,24515,541,10113,15808,16820,17106,10072,103,0
1,2019-1,1,R,전통시장,0,용산용문시장,1,중식음식점,20151204.0,946,82,18,11,17,16,21,17,15,3,0,0,55,12,33,1,58,42,0,15,13,47,9,17,16530633.0,3620571.0,2301820.0,3346545.0,3137601.0,4233706.0,3510961.0,2938931.0,681640.0,0,0.0,11094638.0,2346349.0,6573204.0,137013,8213936.0,5877863.0,0,2058622.0,1829125.0,6573205.0,1209141.0,2421707.0,768,178,89,117,158,219,185,130,48,0,0,501,157,281,7,432,281,0,109,109,295,69,130,3,0
2,2019-1,1,R,전통시장,0,용산용문시장,4,제과점,39500993.0,3735,76,24,17,11,9,19,20,14,10,0,8,16,30,35,11,54,46,1,13,19,30,25,12,29898900.0,9602093.0,6883702.0,4339508.0,3547658.0,7400203.0,7727829.0,5522716.0,4079377.0,19693,2980670.0,6315819.0,11741680.0,13927637.0,4515494,14908719.0,12765374.0,192815,3654718.0,5363738.0,8319701.0,6897130.0,3245993.0,2578,1157,534,483,454,502,605,660,497,4,304,626,866,1369,566,1758,1762,46,598,731,941,766,436,3,0
3,2019-1,1,R,전통시장,0,용산용문시장,5,패스트푸드점,35726693.0,2771,54,46,10,11,0,14,19,24,23,0,0,9,22,62,7,54,46,2,21,19,27,23,9,19146781.0,16579912.0,3401676.0,3974815.0,0.0,5031366.0,6738924.0,8515654.0,8064258.0,0,126485.0,3310370.0,7871367.0,21959904.0,2458567,18918250.0,15987867.0,764769,7396634.0,6461530.0,9282149.0,7970189.0,3030846.0,1467,1304,269,320,0,392,486,640,664,0,12,249,628,1689,193,1470,1285,52,576,557,706,620,244,3,0
4,2019-1,1,R,전통시장,0,용산용문시장,6,치킨전문점,235796962.0,10481,66,34,10,10,14,15,18,17,17,3,0,5,9,51,33,56,44,2,16,29,29,18,7,156078881.0,79718081.0,23433064.0,23884040.0,32462112.0,34447916.0,41851749.0,40660673.0,39057408.0,5912497,0.0,10729554.0,21978301.0,119452363.0,77724247,121078445.0,93509717.0,3387811,35064461.0,61084981.0,62811999.0,37623402.0,14615507.0,6779,3702,1008,1079,1407,1466,1819,1881,1821,205,0,480,901,5571,3324,5362,4581,144,1695,2658,2958,1804,682,12,0
5,2019-1,1,R,전통시장,0,용산용문시장,7,분식전문점,390414516.0,31180,74,26,15,13,16,15,15,12,14,7,6,22,13,34,19,65,36,2,18,32,27,14,6,288570204.0,101844312.0,59815578.0,51954164.0,62926145.0,57067709.0,56806608.0,45507965.0,56336347.0,28050168,24465859.0,83910553.0,48689381.0,131455944.0,73842611,209186468.0,115135678.0,7718723,59556318.0,104107017.0,87676123.0,46324952.0,18939016.0,22757,8423,4352,4104,4715,4915,4671,3965,4458,735,3279,8113,5252,10446,3355,16998,11939,1060,6251,8480,7180,4320,1641,33,0
6,2019-1,1,R,전통시장,0,용산용문시장,8,호프-간이주점,501180526.0,12354,74,26,11,16,15,18,15,18,8,30,0,0,2,16,52,71,29,0,27,31,22,13,7,372864953.0,128315573.0,52597657.0,81606368.0,74176014.0,89356057.0,75128857.0,90074978.0,38240595.0,149868159,806149.0,497623.0,7596461.0,79848266.0,262563868,308545354.0,126560693.0,1495595,116680248.0,136119353.0,95837493.0,54461105.0,30512250.0,9259,3095,1290,1944,2080,2005,1940,2006,1089,3786,15,5,15,2030,6503,7710,3283,83,3500,3085,2535,1285,506,29,0
7,2019-1,1,R,전통시장,0,용산용문시장,9,커피-음료,42000000.0,7598,67,33,14,18,11,12,12,16,17,0,11,27,27,30,4,46,55,1,28,27,18,15,11,28155543.0,13844457.0,6003770.0,7625378.0,4576188.0,5126813.0,4823394.0,6825811.0,7018646.0,0,4699044.0,11468029.0,11355704.0,12679219.0,1798004,18750462.0,22453895.0,372945,11680578.0,10978561.0,7203388.0,6278070.0,4690815.0,5205,2393,1098,1325,963,924,895,1228,1165,0,938,1949,2213,2169,329,3290,4222,110,2162,2153,1371,1026,691,3,0
8,2019-1,1,R,전통시장,0,용산용문시장,13,스포츠 강습,6123537.0,44,100,0,27,0,17,10,45,0,0,0,9,34,41,17,0,46,54,0,15,10,75,0,0,6123537.0,0.0,1678318.0,0.0,1051280.0,636364.0,2757575.0,0.0,0.0,0,520977.0,2058856.0,2492424.0,1051280.0,0,2835659.0,3287878.0,0,901515.0,636364.0,4585658.0,0.0,0.0,44,0,13,0,10,5,16,0,0,0,4,19,11,10,0,22,22,0,10,5,29,0,0,5,0
9,2019-1,1,R,전통시장,0,용산용문시장,14,일반의원,253864086.0,16816,90,10,24,14,20,12,20,10,0,0,25,29,39,7,0,35,65,0,3,12,22,23,40,229164215.0,24699871.0,62056659.0,34299396.0,51860309.0,30109301.0,50838550.0,24699871.0,0.0,0,62557013.0,73926182.0,98896267.0,18484624.0,0,86298623.0,161471541.0,327266,8440505.0,29833641.0,53410585.0,57810315.0,97947851.0,14989,1827,3767,2209,3117,3069,2827,1827,0,0,4103,4727,6801,1185,0,6703,9859,56,714,3011,2957,4005,5819,12,0
